ID,Genero,Grado,Pregunta_1,Pregunta_2,Pregunta_3,Pregunta_4,Pregunta_5,Pregunta_6,Pregunta_7,Pregunta_8,Pregunta_9,Pregunta_10,Pregunta_11,Pregunta_12,Pregunta_13,Pregunta_14,Pregunta_15,Pregunta_16,Pregunta_17,Pregunta_18,Pregunta_19,Pregunta_20,Pregunta_21,Pregunta_22,Pregunta_23,Pregunta_24,Pregunta_25,Pregunta_26,Pregunta_27,Pregunta_28,Pregunta_29,Pregunta_30,Pregunta_31,Pregunta_32,Pregunta_33,Pregunta_34,Pregunta_35,Pregunta_36,Pregunta_37,Pregunta_38,Pregunta_39,Pregunta_40,Pregunta_41,Pregunta_42,Pregunta_43,Pregunta_44,Pregunta_45,Pregunta_46,Pregunta_47,Pregunta_48,Pregunta_49,Pregunta_50,Pregunta_51,Pregunta_52,Pregunta_53,Pregunta_54,Pregunta_55,Pregunta_56,Pregunta_57,Pregunta_58,Pregunta_59,Pregunta_60,Pregunta_61,Pregunta_62,Pregunta_63,Pregunta_64,Pregunta_65,Pregunta_66,Pregunta_67,Pregunta_68,Pregunta_69,Pregunta_70,Pregunta_71,Pregunta_72,Pregunta_73,Pregunta_74,Pregunta_75,Pregunta_76,Pregunta_77,Pregunta_78,Pregunta_79,Pregunta_80,Pregunta_81,Pregunta_82,Pregunta_83,Pregunta_84,Pregunta_85,Pregunta_86,Pregunta_87,Pregunta_88,Pregunta_89,Pregunta_90,Pregunta_91,Pregunta_92,Pregunta_93,Pregunta_94,Pregunta_95,Pregunta_96,Pregunta_97,Pregunta_98,Pregunta_99,Pregunta_100,Pregunta_101,Pregunta_102,Pregunta_103,Pregunta_104,Pregunta_105,Pregunta_106,Pregunta_107,Pregunta_108,Pregunta_109,Pregunta_110,Pregunta_111,Pregunta_112,Pregunta_113,Pregunta_114,Pregunta_115,Pregunta_116,Pregunta_117,Pregunta_118,Pregunta_119,Pregunta_120,Pregunta_121,Pregunta_122,Pregunta_123,Pregunta_124,Pregunta_125,Pregunta_126,Pregunta_127,Pregunta_128,Pregunta_129,Pregunta_130,Pregunta_131,Pregunta_132,Pregunta_133,Pregunta_134,Pregunta_135,Pregunta_136,Pregunta_137,Pregunta_138,Pregunta_139,Pregunta_140,Pregunta_141,Pregunta_142,Pregunta_143,total_ninguno,total_opcion_A,total_opcion_B,total_ambos,porc_ninguno,porc_opcion_A,porc_opcion_B,porc_ambos,respuestas_validas,tasa_completitud,genero_etiqueta,puntaje_CCFM,porc_CCFM,puntaje_CCSS,porc_CCSS,puntaje_CCNA,porc_CCNA,puntaje_CCCO,porc_CCCO,puntaje_ARTE,porc_ARTE,puntaje_BURO,porc_BURO,puntaje_CCEP,porc_CCEP,puntaje_HAA,porc_HAA,puntaje_FINA,porc_FINA,puntaje_LING,porc_LING,puntaje_JURI,porc_JURI,area_dominante,puntaje_dominante,area_dominante_nombre
105,0,4,2,1,1,2,1,2,0,0,2,1,1,2,2,2,2,1,2,1,2,0,2,1,1,2,2,0,1.0,1,1,2,2,2,2,2,2,1,0,2,2,1,1,2,2,2,1,1,1,2,1,2.0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,0,1,2,1,1,1,1,2,2,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,2,2,1,2,0,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,7,55,81,0,4.9,38.46,56.64,0.0,136,95.1,Femenino,17.0,51.52,18,54.55,13,39.39,18,54.55,17,51.52,18,54.55,15,45.45,17,51.52,19,57.58,14,42.42,15.0,45.45,FINA,19.0,Finanzas
106,0,4,2,1,1,1,1,1,2,1,2,1,1,2,1,2,1,2,2,1,2,3,1,1,2,2,1,2,1.0,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,1,1,1,1,2,1.0,1,1,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,1,2,1,2,2,2,0,1,1,2,1,2,1,1,1,2,1,1,1,2,1,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,70,71,1,0.7,48.95,49.65,0.7,142,99.3,Femenino,17.0,51.52,15,45.45,15,45.45,17,51.52,15,45.45,17,51.52,18,54.55,16,48.48,17,51.52,17,51.52,16.0,48.48,CCEP,18.0,Ciencias Económico-Políticas
107,1,4,2,2,1,1,1,1,1,2,1,1,0,0,0,0,0,1,2,0,0,2,1,2,1,2,0,1,2.0,1,1,2,3,2,1,1,2,2,0,1,0,2,1,1,1,2,1,1,1,2,1,1.0,2,1,2,1,2,2,1,2,2,2,1,2,1,1,1,2,1,1,2,2,1,2,1,2,1,2,1,1,2,1,2,1,1,2,2,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,2,1,2,1,1,2,2,1,1,2,2,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,2,1,2,1,1,2,2,1,1,2,2,1,2,1,2,1,2,10,70,62,1,6.99,48.95,43.36,0.7,133,93.01,Masculino,18.0,54.55,13,39.39,15,45.45,17,51.52,16,48.48,15,45.45,17,51.52,15,45.45,18,54.55,15,45.45,14.0,42.42,CCFM,18.0,Ciencias Físico-Matemáticas
108,1,4,2,1,1,2,2,2,1,1,2,1,2,2,1,1,1,2,1,2,2,1,1,2,2,1,2,0,2.0,1,2,1,1,2,2,1,1,1,2,2,1,2,1,2,2,1,1,1,1,2,1,2.0,2,1,2,0,1,2,1,2,2,1,2,1,1,2,1,2,2,2,1,1,2,2,1,1,2,2,1,1,1,2,1,2,1,1,1,2,0,1,2,2,1,2,1,1,2,1,2,2,1,1,2,1,2,2,2,0,1,2,2,1,2,1,2,2,1,2,2,1,2,1,2,2,2,1,1,2,1,2,2,1,1,2,2,2,1,2,2,0,1,2,2,1,2,5,65,73,0,3.5,45.45,51.05,0.0,138,96.5,Masculino,18.0,54.55,13,39.39,16,48.48,19,57.58,15,45.45,19,57.58,17,51.52,11,33.33,16,48.48,16,48.48,18.0,54.55,CCCO,19.0,Ciencias de la Comunicación
109,1,4,2,1,1,1,1,2,2,1,1,1,0,0,2,1,0,1,2,1,1,1,1,2,2,2,2,1,2.0,1,1,2,1,2,1,1,2,2,1,1,1,1,1,2,1,2,2,1,1,1,2,1.0,2,1,2,1,1,1,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,2,1,2,1,2,2,2,1,2,1,1,2,1,2,2,2,2,0,2,2,0,2,2,2,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,6,60,77,0,4.2,41.96,53.85,0.0,137,95.8,Masculino,17.0,51.52,13,39.39,16,48.48,18,54.55,18,54.55,19,57.58,16,48.48,15,45.45,17,51.52,20,60.61,15.0,45.45,LING,20.0,Lingüística
110,1,4,1,1,2,1,2,2,2,1,2,1,3,1,2,1,1,1,2,1,2,2,2,1,2,1,1,2,2.0,0,1,2,2,1,2,1,1,1,2,1,1,0,1,1,1,1,2,1,2,1,2,2.0,2,1,1,1,2,2,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,2,2,1,2,1,1,2,2,1,1,1,2,1,1,2,2,1,2,1,2,2,1,1,2,1,1,2,2,1,1,2,2,1,1,1,2,1,2,1,1,2,2,1,2,2,1,2,1,2,1,2,1,2,2,1,1,1,2,1,1,1,2,81,59,1,1.4,56.64,41.26,0.7,141,98.6,Masculino,14.0,42.42,12,36.36,16,48.48,14,42.42,16,48.48,19,57.58,17,51.52,15,45.45,16,48.48,16,48.48,17.0,51.52,BURO,19.0,Burocracia/Administrativo
111,0,4,3,1,1,1,0,0,2,0,1,3,0,1,2,3,3,2,3,2,2,2,2,2,1,2,2,2,2.0,1,2,3,2,1,0,2,0,3,2,2,1,3,2,3,3,3,3,2,2,2,3,2.0,2,1,2,2,2,2,3,3,2,2,2,3,2,1,1,3,3,3,0,1,2,2,2,0,1,0,2,1,0,1,1,2,1,0,2,2,3,2,2,3,0,0,3,2,1,1,1,2,0,0,2,2,1,0,2,1,2,1,1,3,1,0,0,1,2,2,2,1,2,2,3,3,2,2,2,2,2,2,0,1,1,2,2,3,2,1,0,1,0,1,1,2,2,21,34,62,26,14.69,23.78,43.36,18.18,122,85.31,Femenino,20.0,60.61,21,63.64,22,66.67,22,66.67,19,57.58,18,54.55,17,51.52,15,45.45,12,36.36,22,66.67,17.0,51.52,CCNA,22.0,Ciencias Naturales
112,1,4,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,2,2,1,2,1,2,1,2,1,1.0,2,1,1,2,2,1,1,2,1,1,2,1,0,2,1,2,1,2,1,1,2,1,2.0,1,2,2,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,1,2,1,1,2,2,2,1,1,1,2,2,1,1,2,0,1,2,1,1,1,2,1,2,2,2,1,1,2,0,2,2,2,3,65,75,0,2.1,45.45,52.45,0.0,140,97.9,Masculino,14.0,42.42,17,51.52,15,45.45,18,54.55,17,51.52,19,57.58,14,42.42,18,54.55,16,48.48,14,42.42,18.0,54.55,BURO,19.0,Burocracia/Administrativo
113,1,4,2,1,1,2,1,1,1,2,2,1,1,2,1,1,2,1,2,1,1,1,1,2,2,1,2,1,1.0,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2.0,2,1,1,1,2,1,1,1,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,1,1,1,1,2,1,2,2,1,2,2,1,2,1,1,2,2,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,1,0,80,63,0,0.0,55.94,44.06,0.0,143,100.0,Masculino,16.0,48.48,15,45.45,15,45.45,17,51.52,14,42.42,14,42.42,16,48.48,18,54.55,19,57.58,16,48.48,16.0,48.48,FINA,19.0,Finanzas
114,0,4,2,1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,2,1,1,1,1,2,2,1.0,1,2,2,2,1,1,1,1,2,2,2,2,1,1,2,1,2,2,2,1,2,1,2.0,1,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,2,2,2,1,1,2,1,2,2,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,2,1,2,1,2,2,1,1,1,2,2,2,2,1,2,1,1,1,2,2,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,2,2,2,0,77,66,0,0.0,53.85,46.15,0.0,143,100.0,Femenino,16.0,48.48,17,51.52,18,54.55,16,48.48,15,45.45,16,48.48,17,51.52,14,42.42,16,48.48,16,48.48,15.0,45.45,CCNA,18.0,Ciencias Naturales
117,0,5,2,1,3,3,3,3,3,3,3,3,1,2,2,3,3,3,3,3,3,1,3,3,3,3,2,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,1,3,1,1,3,1,0,0,3,3,1,1,3,3,3,3,3,2,2,3,3,3,1,3,3,1,1,2,3,2,3,3,2,3,3,3,1,3,3,2,2,3,3,3,3,1,3,3,3,1,1,1,3,3,1,2,2,1,1,1,3,3,3,3,3,3,3,1,2,2,2,2,3,3,3,3,3,3,2,2,3,2,2,2,22,22,97,1.4,15.38,15.38,67.83,141,98.6,Femenino,26.0,78.79,22,66.67,27,81.82,33,100.0,31,93.94,27,81.82,27,81.82,29,87.88,27,81.82,30,90.91,25.0,75.76,CCCO,33.0,Ciencias de la Comunicación
118,1,5,2,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,1,2,3,2,1,2,1,2,1,2,1.0,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2.0,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,1,2,1,2,1,2,1,1,1,2,2,2,1,1,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,3,3,2,1,2,1,2,1,2,1,2,2,1,1,2,1,3,3,3,3,2,1,3,2,1,1,2,2,0,71,64,8,0.0,49.65,44.76,5.59,143,100.0,Masculino,15.0,45.45,17,51.52,18,54.55,16,48.48,20,60.61,17,51.52,17,51.52,17,51.52,18,54.55,15,45.45,16.0,48.48,ARTE,20.0,Artes
119,1,4,2,1,2,2,1,1,2,3,1,1,1,3,1,1,1,1,2,2,1,2,2,2,1,1,1,2,1.0,1,2,2,1,2,1,1,1,2,3,1,0,1,3,2,2,2,1,2,2,1,1,3.0,1,1,0,2,0,2,2,1,3,2,2,1,3,0,0,1,2,2,0,3,2,0,1,2,3,1,0,3,2,1,3,3,3,1,1,1,2,2,0,1,2,2,3,2,2,2,2,2,1,2,2,2,2,1,3,2,1,2,2,2,3,2,2,1,3,1,2,2,2,0,1,2,2,1,1,1,2,1,2,2,1,3,2,2,1,1,2,2,2,1,1,1,3,10,53,61,19,6.99,37.06,42.66,13.29,133,93.01,Masculino,16.0,48.48,21,63.64,17,51.52,20,60.61,21,63.64,16,48.48,19,57.58,18,54.55,18,54.55,17,51.52,19.0,57.58,CCSS,21.0,Ciencias Sociales
120,1,4,1,2,1,3,2,1,1,1,1,1,1,1,3,2,2,1,1,2,1,1,2,1,1,1,2,3,1.0,2,1,2,1,1,2,1,2,1,2,3,1,2,1,2,1,1,2,1,1,2,1,1.0,2,2,2,2,1,2,1,1,2,2,1,2,2,2,1,1,2,2,1,1,2,2,2,2,1,1,2,1,2,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,1,2,1,2,1,1,2,1,2,2,1,1,1,1,2,2,2,1,2,1,0,76,63,4,0.0,53.15,44.06,2.8,143,100.0,Masculino,16.0,48.48,18,54.55,16,48.48,18,54.55,16,48.48,14,42.42,16,48.48,17,51.52,16,48.48,16,48.48,14.0,42.42,CCSS,18.0,Ciencias Sociales
121,0,4,2,2,1,2,1,1,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,2.0,1,2,2,1,2,2,2,1,2,1,1,2,1,2,3,2,1,2,1,2,1,2,1.0,1,2,2,2,2,1,1,2,2,1,2,2,2,1,1,2,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,1,1,2,2,1,2,2,1,1,1,3,2,3,1,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,1,1,2,0,49,89,5,0.0,34.27,62.24,3.5,143,100.0,Femenino,22.0,66.67,18,54.55,20,60.61,18,54.55,17,51.52,18,54.55,21,63.64,18,54.55,15,45.45,21,63.64,16.0,48.48,CCFM,22.0,Ciencias Físico-Matemáticas
123,0,4,1,1,1,2,2,1,1,0,2,1,2,3,1,2,1,2,2,2,2,3,1,1,1,2,0,0,1.0,1,1,1,2,1,3,1,1,2,1,2,2,2,1,2,1,1,1,1,2,1,2,3.0,2,2,2,2,2,1,1,1,2,1,1,3,2,3,1,1,2,1,2,2,2,1,2,2,1,1,3,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,2,2,2,2,1,1,1,2,2,3,2,1,2,1,1,1,2,3,1,2,1,1,2,1,2,1,2,2,2,3,1,2,2,2,2,1,2,1,1,1,1,1,1,1,3,71,59,10,2.1,49.65,41.26,6.99,140,97.9,Femenino,16.0,48.48,16,48.48,16,48.48,17,51.52,19,57.58,16,48.48,18,54.55,14,42.42,15,45.45,17,51.52,18.0,54.55,ARTE,19.0,Artes
125,0,4,2,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,2,2,2,1,0,1,2,0,2,0,2.0,0,1,1,1,1,1,0,1,2,2,2,2,1,2,1,0,1,1,0,1,1,2,1.0,2,1,2,2,2,1,0,1,1,0,0,1,1,1,1,2,1,1,1,1,2,0,1,2,0,2,0,2,2,1,2,0,1,2,1,2,1,2,1,2,2,1,2,2,1,1,1,2,2,2,2,2,2,0,0,1,2,2,0,2,0,2,0,1,2,0,2,1,0,1,2,2,1,2,0,1,2,1,2,2,1,0,2,1,1,2,2,0,1,2,1,2,1,24,61,58,0,16.78,42.66,40.56,0.0,119,83.22,Femenino,15.0,45.45,11,33.33,16,48.48,12,36.36,12,36.36,17,51.52,11,33.33,9,27.27,11,33.33,18,54.55,14.0,42.42,LING,18.0,Lingüística
126,0,4,3,1,1,2,1,1,1,2,2,2,2,2,1,1,2,1,1,1,1,1,2,2,1,2,2,2,2.0,1,1,2,2,1,1,2,2,1,2,2,1,1,2,1,1,2,2,2,1,2,2,1.0,1,1,1,2,1,2,2,2,2,1,1,1,2,1,2,2,2,2,1,1,1,2,1,2,2,1,2,1,1,1,2,2,2,2,1,3,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,2,2,2,3,2,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,0,72,68,3,0.0,50.35,47.55,2.1,143,100.0,Femenino,19.0,57.58,17,51.52,15,45.45,16,48.48,17,51.52,15,45.45,15,45.45,17,51.52,18,54.55,17,51.52,18.0,54.55,CCFM,19.0,Ciencias Físico-Matemáticas
127,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,2,1,1,2,2,1,1.0,2,1,1,1,2,1,2,2,2,1,2,1,2,1,1,2,2,1,2,1,2,2,1.0,1,1,1,2,2,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,2,1,2,0,1,2,2,1,2,2,1,2,1,0,2,1,1,2,2,2,1,2,0,2,1,1,2,1,1,2,1,2,2,2,1,1,2,1,2,1,2,1,1,1,1,2,2,1,0,1,2,1,2,1,4,78,61,0,2.8,54.55,42.66,0.0,139,97.2,Femenino,15.0,45.45,15,45.45,14,42.42,16,48.48,16,48.48,17,51.52,15,45.45,13,39.39,17,51.52,17,51.52,14.0,42.42,BURO,17.0,Burocracia/Administrativo
129,1,4,2,1,1,1,1,2,1,2,0,0,0,2,1,0,0,2,2,1,0,1,2,2,1,2,2,2,1.0,1,2,2,1,2,2,1,1,1,2,2,1,2,0,0,0,2,1,2,2,1,1,1.0,1,2,2,2,2,2,0,1,0,1,1,1,2,1,2,1,2,1,2,1,2,2,1,2,1,2,3,1,1,2,1,1,1,1,2,2,2,2,1,2,1,1,2,2,2,1,1,1,2,1,2,2,2,2,2,1,2,1,1,1,1,1,1,2,2,2,2,1,1,2,1,2,2,2,1,1,1,1,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,11,64,67,1,7.69,44.76,46.85,0.7,132,92.31,Masculino,14.0,42.42,14,42.42,16,48.48,16,48.48,13,39.39,14,42.42,15,45.45,16,48.48,14,42.42,14,42.42,16.0,48.48,CCNA,16.0,Ciencias Naturales
135,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,1,0,0,2,0,0,0,2,0,0.0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,1,0,0,0,1,0.0,2,0,1,0,2,0,2,0,0,1,0,0,1,0,1,2,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,2,2,0,2,0,0,0,1,2,1,0,0,1,0,1,2,0,0,0,0,2,2,0,2,0,0,2,2,2,0,2,1,2,0,2,0,0,0,1,0,0,0,0,1,0,0,2,0,2,2,0,2,0,2,0,2,0,0,2,0,2,1,87,21,35,0,60.84,14.69,24.48,0.0,56,39.16,Femenino,9.0,27.27,6,18.18,7,21.21,7,21.21,10,30.3,5,15.15,5,15.15,8,24.24,1,3.03,5,15.15,6.0,18.18,ARTE,10.0,Artes
137,0,4,0,0,1,1,0,1,1,0,1,0,0,2,1,2,2,0,1,0,0,0,0,2,2,0,2,0,2.0,1,2,2,2,0,0,2,2,1,0,2,1,2,2,1,1,0,0,0,0,2,1,1.0,2,1,2,2,1,0,1,2,2,2,2,2,2,1,0,1,2,1,0,1,2,2,1,0,1,0,2,1,1,1,1,2,0,0,1,0,1,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1,1,0,2,0,0,0,0,1,0,2,0,2,2,1,2,1,2,2,0,2,2,2,1,1,1,0,1,1,0,1,0,0,2,1,0,2,0,53,46,43,1,37.06,32.17,30.07,0.7,90,62.94,Femenino,15.0,45.45,14,42.42,11,33.33,10,30.3,7,21.21,8,24.24,8,24.24,5,15.15,14,42.42,12,36.36,8.0,24.24,CCFM,15.0,Ciencias Físico-Matemáticas
138,0,4,2,1,2,2,1,1,2,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2.0,2,1,1,1,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,2.0,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,1,2,0,42,101,0,0.0,29.37,70.63,0.0,143,100.0,Femenino,18.0,54.55,18,54.55,19,57.58,19,57.58,12,36.36,21,63.64,22,66.67,20,60.61,20,60.61,15,45.45,20.0,60.61,CCEP,22.0,Ciencias Económico-Políticas
139,0,4,2,1,2,0,2,1,1,2,0,1,1,2,1,1,2,0,2,1,1,2,2,2,0,1,2,1,2.0,1,1,2,2,1,2,2,2,1,2,1,2,1,1,2,2,2,1,1,2,1,1,2.0,1,1,1,2,1,2,2,2,1,2,2,1,2,2,1,1,2,2,0,1,1,1,2,2,1,2,2,1,1,1,2,1,2,1,2,2,1,1,1,2,1,1,1,1,2,2,2,2,1,1,2,2,2,1,2,1,1,2,2,1,1,2,1,2,2,2,1,2,2,2,2,1,1,2,1,2,1,2,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,5,65,73,0,3.5,45.45,51.05,0.0,138,96.5,Femenino,15.0,45.45,15,45.45,16,48.48,16,48.48,18,54.55,13,39.39,17,51.52,20,60.61,15,45.45,13,39.39,19.0,57.58,HAA,20.0,Humanidades y Arquitectura
