ID,Genero,Grado,Pregunta_1,Pregunta_2,Pregunta_3,Pregunta_4,Pregunta_5,Pregunta_6,Pregunta_7,Pregunta_8,Pregunta_9,Pregunta_10,Pregunta_11,Pregunta_12,Pregunta_13,Pregunta_14,Pregunta_15,Pregunta_16,Pregunta_17,Pregunta_18,Pregunta_19,Pregunta_20,Pregunta_21,Pregunta_22,Pregunta_23,Pregunta_24,Pregunta_25,Pregunta_26,Pregunta_27,Pregunta_28,Pregunta_29,Pregunta_30,Pregunta_31,Pregunta_32,Pregunta_33,Pregunta_34,Pregunta_35,Pregunta_36,Pregunta_37,Pregunta_38,Pregunta_39,Pregunta_40,Pregunta_41,Pregunta_42,Pregunta_43,Pregunta_44,Pregunta_45,Pregunta_46,Pregunta_47,Pregunta_48,Pregunta_49,Pregunta_50,Pregunta_51,Pregunta_52,Pregunta_53,Pregunta_54,Pregunta_55,Pregunta_56,Pregunta_57,Pregunta_58,Pregunta_59,Pregunta_60,Pregunta_61,Pregunta_62,Pregunta_63,Pregunta_64,Pregunta_65,Pregunta_66,Pregunta_67,Pregunta_68,Pregunta_69,Pregunta_70,Pregunta_71,Pregunta_72,Pregunta_73,Pregunta_74,Pregunta_75,Pregunta_76,Pregunta_77,Pregunta_78,Pregunta_79,Pregunta_80,Pregunta_81,Pregunta_82,Pregunta_83,Pregunta_84,Pregunta_85,Pregunta_86,Pregunta_87,Pregunta_88,Pregunta_89,Pregunta_90,Pregunta_91,Pregunta_92,Pregunta_93,Pregunta_94,Pregunta_95,Pregunta_96,Pregunta_97,Pregunta_98,Pregunta_99,Pregunta_100,Pregunta_101,Pregunta_102,Pregunta_103,Pregunta_104,Pregunta_105,Pregunta_106,Pregunta_107,Pregunta_108,Pregunta_109,Pregunta_110,Pregunta_111,Pregunta_112,Pregunta_113,Pregunta_114,Pregunta_115,Pregunta_116,Pregunta_117,Pregunta_118,Pregunta_119,Pregunta_120,Pregunta_121,Pregunta_122,Pregunta_123,Pregunta_124,Pregunta_125,Pregunta_126,Pregunta_127,Pregunta_128,Pregunta_129,Pregunta_130,Pregunta_131,Pregunta_132,Pregunta_133,Pregunta_134,Pregunta_135,Pregunta_136,Pregunta_137,Pregunta_138,Pregunta_139,Pregunta_140,Pregunta_141,Pregunta_142,Pregunta_143,total_ninguno,total_opcion_A,total_opcion_B,total_ambos,porc_ninguno,porc_opcion_A,porc_opcion_B,porc_ambos,respuestas_validas,tasa_completitud,genero_etiqueta,puntaje_CCFM,porc_CCFM,puntaje_CCSS,porc_CCSS,puntaje_CCNA,porc_CCNA,puntaje_CCCO,porc_CCCO,puntaje_ARTE,porc_ARTE,puntaje_BURO,porc_BURO,puntaje_CCEP,porc_CCEP,puntaje_HAA,porc_HAA,puntaje_FINA,porc_FINA,puntaje_LING,porc_LING,puntaje_JURI,porc_JURI,area_dominante,puntaje_dominante,area_dominante_nombre
141,1,4,2,1,2,1,1,1,2,1,2,1,1,2,1,2,1,2,1,1,2,2,1,2,1,2,2,2,2.0,1,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,1,2,1,1.0,2,1,2,1,2,1,1,2,2,1,2,1,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,2,1,2,2,3,2,2,1,2,1,1,1,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,1,1,1,2,1,2,1,2,1,1,1,2,2,2,2,1,2,1,2,2,2,1,2,2,1,1,2,1,1,2,2,0,2,2,1,65,76,1,0.7,45.45,53.15,0.7,142,99.3,Masculino,16.0,48.48,13,39.39,17,51.52,15,45.45,17,51.52,19,57.58,20,60.61,14,42.42,22,66.67,13,39.39,17.0,51.52,FINA,22.0,Finanzas
143,1,4,2,0,0,2,2,1,1,0,1,0,1,2,0,1,1,0,1,3,2,2,2,1,2,2,2,1,1.0,1,1,1,1,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,1,2.0,1,2,2,2,1,1,2,2,1,2,2,2,2,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,1,1,2,2,1,2,1,1,2,2,2,1,2,1,2,2,1,2,1,2,1,2,2,1,2,2,2,2,0,2,2,2,1,2,1,2,1,2,2,2,0,1,1,2,2,1,2,2,1,2,2,1,0,1,2,2,1,2,2,1,2,1,1,2,2,9,57,76,1,6.29,39.86,53.15,0.7,134,93.71,Masculino,15.0,45.45,13,39.39,11,33.33,17,51.52,19,57.58,18,54.55,16,48.48,16,48.48,17,51.52,16,48.48,18.0,54.55,ARTE,19.0,Artes
144,1,4,2,1,1,1,2,2,1,1,1,1,2,2,1,2,1,2,1,2,2,2,2,1,2,2,2,1,1.0,2,2,2,1,2,1,2,2,1,2,2,2,0,2,2,2,1,2,1,1,2,1,2.0,2,2,1,2,1,2,1,2,2,1,2,2,2,2,1,2,2,1,2,1,1,2,1,1,1,2,2,2,1,1,2,1,1,1,2,1,2,1,1,2,2,2,0,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,1,2,1,2,2,2,1,1,2,1,2,2,1,1,2,2,2,1,1,2,2,1,1,1,1,2,2,2,64,77,0,1.4,44.76,53.85,0.0,141,98.6,Masculino,16.0,48.48,16,48.48,18,54.55,17,51.52,14,42.42,18,54.55,17,51.52,16,48.48,16,48.48,15,45.45,19.0,57.58,JURI,19.0,Jurídico
145,0,4,1,3,0,0,0,0,1,0,0,2,3,2,3,2,2,0,2,2,2,1,2,2,3,2,2,0,0.0,1,0,1,0,0,0,0,0,3,2,2,2,2,1,0,2,2,2,1,0,0,3,0.0,2,1,0,0,1,2,0,0,2,3,2,3,2,1,0,2,0,1,0,1,0,0,0,0,1,0,0,0,3,3,3,2,0,0,0,0,2,1,3,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,3,2,0,2,2,2,2,3,2,3,2,1,1,3,0,2,1,0,0,0,0,0,1,0,2,1,66,23,38,16,46.15,16.08,26.57,11.19,77,53.85,Femenino,16.0,48.48,13,39.39,9,27.27,12,36.36,7,21.21,6,18.18,7,21.21,8,24.24,8,24.24,22,66.67,15.0,45.45,LING,22.0,Lingüística
146,1,4,0,1,0,3,3,1,3,3,3,3,1,1,3,3,3,2,2,3,1,3,2,3,2,3,2,0,3.0,2,2,3,3,1,1,2,1,3,1,1,3,3,3,0,3,2,2,1,1,2,3,3.0,2,0,1,1,2,1,0,0,1,1,0,0,3,1,0,0,0,0,0,1,1,1,0,3,2,0,2,2,2,2,2,1,0,3,2,0,0,0,1,2,2,2,3,0,1,0,2,0,0,0,2,2,2,1,1,0,2,2,1,1,1,3,3,2,2,2,1,0,0,0,2,2,3,0,0,3,0,1,1,0,3,0,3,0,0,2,2,3,1,0,1,3,0,38,34,36,35,26.57,23.78,25.17,24.48,105,73.43,Masculino,18.0,54.55,15,45.45,13,39.39,18,54.55,15,45.45,17,51.52,15,45.45,15,45.45,19,57.58,17,51.52,18.0,54.55,FINA,19.0,Finanzas
148,0,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1.0,2,1,1,1,2,2,1,1,2,1,2,1,2,2,3,1,2,2,1,2,3,2,2.0,1,1,2,0,1,2,2,2,2,1,1,1,1,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,1,2,1,2,1,1,2,1,1,2,3,1,1,1,3,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,2,1,1,74,64,4,0.7,51.75,44.76,2.8,142,99.3,Femenino,15.0,45.45,15,45.45,15,45.45,14,42.42,16,48.48,19,57.58,18,54.55,17,51.52,16,48.48,19,57.58,15.0,45.45,BURO,19.0,Burocracia/Administrativo
149,0,4,2,1,1,2,1,1,2,2,1,2,2,2,2,1,1,3,2,1,1,1,2,1,1,2,2,2,1.0,1,2,1,2,1,1,2,2,1,1,1,2,1,2,2,1,2,2,2,1,2,2,1.0,1,2,2,1,1,2,1,2,2,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,2,2,1,2,2,1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,2,1,1,2,1,2,2,1,1,1,2,2,2,1,2,2,1,2,2,0,2,2,1,2,1,2,2,2,1,2,1,1,2,2,2,1,2,2,1,68,73,1,0.7,47.55,51.05,0.7,142,99.3,Femenino,17.0,51.52,17,51.52,18,54.55,16,48.48,16,48.48,14,42.42,16,48.48,17,51.52,18,54.55,16,48.48,14.0,42.42,CCNA,18.0,Ciencias Naturales
150,0,4,2,1,2,1,1,1,1,1,2,2,1,2,2,1,2,0,1,2,1,1,1,2,2,1,2,1,2.0,2,1,2,1,1,1,2,2,1,2,2,1,1,1,2,1,1,1,2,2,2,2,1.0,3,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,1,2,2,1,1,2,2,2,2,2,1,1,1,2,1,0,0,1,2,2,1,2,2,2,1,2,1,1,1,1,2,1,2,1,3,1,1,2,1,3,1,1,2,2,1,1,1,2,2,1,1,1,3,2,1,1,1,2,1,2,2,1,2,1,1,1,2,2,2,2,2,1,2,1,2,3,69,67,4,2.1,48.25,46.85,2.8,140,97.9,Femenino,16.0,48.48,16,48.48,15,45.45,18,54.55,16,48.48,13,39.39,14,42.42,17,51.52,19,57.58,17,51.52,15.0,45.45,FINA,19.0,Finanzas
151,1,4,1,1,2,3,2,1,1,1,3,1,2,2,1,2,1,1,2,3,1,1,2,1,2,1,2,1,2.0,2,2,2,1,2,1,2,2,1,1,2,2,1,2,2,1,1,3,2,2,3,1,1.0,1,1,2,2,3,2,2,2,0,1,2,2,2,1,2,2,1,2,1,1,1,1,2,1,2,1,2,2,2,2,1,2,2,2,2,1,1,3,2,2,1,1,2,3,1,3,0,0,1,1,1,1,2,2,1,3,1,1,1,0,0,2,2,1,2,1,1,2,2,2,2,2,1,1,2,1,1,1,2,1,3,1,2,1,2,2,1,3,1,2,2,2,1,5,62,64,12,3.5,43.36,44.76,8.39,138,96.5,Masculino,19.0,57.58,19,57.58,21,63.64,18,54.55,20,60.61,15,45.45,10,30.3,19,57.58,18,54.55,17,51.52,16.0,48.48,CCNA,21.0,Ciencias Naturales
152,1,4,1,2,2,2,2,1,1,2,1,2,2,1,1,2,2,2,2,1,2,1,2,1,1,2,2,2,1.0,2,1,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,2,2,2.0,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,2,1,1,2,2,2,2,1,2,1,1,3,1,1,2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,1,2,1,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,2,1,0,2,2,1,1,1,1,1,1,1,1,2,1,0,1,1,2,77,63,1,1.4,53.85,44.06,0.7,141,98.6,Masculino,15.0,45.45,18,54.55,15,45.45,19,57.58,14,42.42,15,45.45,14,42.42,15,45.45,17,51.52,16,48.48,13.0,39.39,CCCO,19.0,Ciencias de la Comunicación
154,1,4,2,1,1,1,1,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,0,0,1.0,1,1,2,1,2,0,1,2,1,2,2,0,0,0,0,2,2,0,0,0,0,1,2.0,1,1,0,0,2,2,2,0,0,1,2,2,2,2,1,2,1,2,2,0,2,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,0,0,2,0,0,0,2,2,0,2,2,2,0,0,2,0,1,2,2,1,0,0,0,2,0,0,0,2,2,2,2,0,2,2,1,2,1,0,2,2,0,1,1,0,0,2,1,0,0,0,2,55,29,59,0,38.46,20.28,41.26,0.0,88,61.54,Masculino,8.0,24.24,6,18.18,14,42.42,16,48.48,12,36.36,12,36.36,6,18.18,13,39.39,14,42.42,8,24.24,14.0,42.42,CCCO,16.0,Ciencias de la Comunicación
155,1,4,0,1,1,0,0,1,0,1,2,0,1,2,2,1,2,1,2,1,0,0,1,2,0,2,2,1,2.0,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,1,2,2,1,1,1,2.0,1,1,2,1,1,1,1,0,1,2,1,2,2,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,28,30,0,59.44,19.58,20.98,0.0,58,40.56,Masculino,8.0,24.24,7,21.21,7,21.21,8,24.24,5,15.15,5,15.15,5,15.15,7,21.21,8,24.24,4,12.12,9.0,27.27,JURI,9.0,Jurídico
156,0,4,2,3,1,1,2,2,2,3,1,1,1,1,2,3,0,3,2,2,2,1,2,2,2,1,2,2,1.0,1,2,1,1,1,2,1,1,1,0,2,1,3,2,2,1,1,1,2,1,2,1,1.0,1,2,2,1,1,2,2,3,3,1,3,2,2,1,1,2,2,1,1,1,1,2,2,0,0,2,2,2,3,2,2,1,2,1,1,2,2,1,2,1,1,1,1,2,2,2,1,1,2,2,3,1,2,2,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,1,3,3,1,1,1,0,1,3,2,2,2,2,1,2,3,2,1,2,2,1,2,2,2,5,59,65,14,3.5,41.26,45.45,9.79,138,96.5,Femenino,22.0,66.67,17,51.52,17,51.52,17,51.52,20,60.61,17,51.52,18,54.55,18,54.55,17,51.52,15,45.45,17.0,51.52,CCFM,22.0,Ciencias Físico-Matemáticas
158,0,4,3,1,0,0,3,0,3,3,3,0,3,3,0,0,2,2,1,2,2,1,2,0,2,1,2,0,3.0,0,2,0,2,0,1,2,1,2,3,2,3,0,3,3,3,0,3,3,0,3,3,0.0,0,3,0,0,3,0,3,3,0,2,0,1,2,3,3,3,0,2,0,3,0,3,0,3,0,3,2,2,2,2,0,0,2,3,0,3,3,0,3,0,3,3,2,2,2,2,1,1,0,1,2,2,0,0,2,1,2,1,1,2,0,2,0,0,2,0,1,2,0,2,0,0,3,0,3,0,0,3,0,3,0,0,3,3,3,2,3,0,3,3,0,3,3,49,14,34,46,34.27,9.79,23.78,32.17,94,65.73,Femenino,18.0,54.55,11,33.33,21,63.64,10,30.3,21,63.64,19,57.58,15,45.45,17,51.52,17,51.52,13,39.39,22.0,66.67,JURI,22.0,Jurídico
159,0,4,2,1,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2.0,1,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2,2,1,1.0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,1,2,1,2,3,1,2,2,1,3,1,1,2,2,2,1,2,1,1,2,2,2,2,1,1,1,2,2,2,0,1,2,1,1,3,1,2,2,3,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,1,1,2,2,2,2,1,43,92,7,0.7,30.07,64.34,4.9,142,99.3,Femenino,19.0,57.58,19,57.58,19,57.58,19,57.58,18,54.55,19,57.58,21,63.64,20,60.61,18,54.55,19,57.58,18.0,54.55,CCEP,21.0,Ciencias Económico-Políticas
160,1,4,2,1,2,1,1,2,2,1,0,1,1,2,0,0,1,2,2,1,0,0,2,2,2,2,2,0,0.0,1,1,0,1,2,2,0,2,1,0,2,1,2,0,0,0,1,0,0,1,0,1,2.0,2,0,0,0,2,1,2,2,2,2,2,2,2,2,0,2,0,1,1,0,2,0,1,1,2,0,1,2,2,0,0,2,1,2,2,1,1,2,2,2,2,0,1,0,0,2,1,0,0,1,1,2,2,2,2,0,1,0,1,2,0,0,2,2,1,1,1,2,2,1,0,0,1,0,1,2,0,1,2,1,0,0,1,0,0,2,2,2,1,1,1,1,2,43,44,56,0,30.07,30.77,39.16,0.0,100,69.93,Masculino,12.0,36.36,6,18.18,11,33.33,7,21.21,10,30.3,16,48.48,10,30.3,11,33.33,14,42.42,15,45.45,14.0,42.42,BURO,16.0,Burocracia/Administrativo
161,1,4,0,1,1,2,1,1,1,2,2,1,1,2,2,1,2,2,1,1,2,1,2,2,2,1,1,1,1.0,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2.0,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,3,1,1,2,1,2,2,1,2,1,2,1,1,2,1,2,1,1,1,1,2,1,2,2,1,2,1,1,2,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,2,1,2,2,0,2,93,47,1,1.4,65.03,32.87,0.7,141,98.6,Masculino,12.0,36.36,15,45.45,14,42.42,14,42.42,12,36.36,15,45.45,12,36.36,17,51.52,16,48.48,16,48.48,14.0,42.42,HAA,17.0,Humanidades y Arquitectura
162,1,4,3,2,3,2,2,2,3,2,2,2,2,2,0,1,3,1,2,2,3,3,3,2,2,2,2,1,1.0,1,3,2,2,2,3,2,2,1,2,2,2,1,1,3,1,1,2,1,1,2,2,2.0,2,2,1,1,1,1,2,1,1,2,1,2,2,3,1,1,1,2,1,1,2,1,1,1,3,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,0,0,0,0,0,2,40,34,56,13,27.97,23.78,39.16,9.09,103,72.03,Masculino,12.0,36.36,15,45.45,18,54.55,14,42.42,14,42.42,18,54.55,16,48.48,12,36.36,11,33.33,14,42.42,14.0,42.42,CCNA,18.0,Ciencias Naturales
164,1,4,2,1,1,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,1.0,1,1,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,3,2,1,2,1.0,1,1,1,2,2,1,1,3,3,3,1,2,2,1,1,3,1,2,2,1,1,2,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,2,2,2,2,3,3,2,1,2,1,2,2,3,3,2,1,1,1,2,1,1,2,2,1,1,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,1,2,0,66,68,9,0.0,46.15,47.55,6.29,143,100.0,Masculino,18.0,54.55,18,54.55,19,57.58,17,51.52,17,51.52,17,51.52,19,57.58,19,57.58,16,48.48,21,63.64,18.0,54.55,LING,21.0,Lingüística
167,1,4,2,1,1,2,2,1,3,1,3,3,3,2,1,1,2,1,3,2,1,2,1,1,2,2,2,2,3.0,0,3,2,2,1,2,1,1,1,2,2,2,2,1,1,1,2,2,2,1,2,1,1.0,2,3,3,1,1,2,0,1,2,2,0,2,2,2,3,2,2,1,1,2,2,1,1,2,1,1,2,1,3,2,2,1,2,1,3,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,3,2,1,2,2,1,3,3,1,2,2,2,1,2,2,2,1,3,0,3,2,2,1,1,3,1,2,2,2,1,1,2,2,1,1,1,2,4,57,64,18,2.8,39.86,44.76,12.59,139,97.2,Masculino,23.0,69.7,13,39.39,18,54.55,19,57.58,19,57.58,15,45.45,23,69.7,13,39.39,20,60.61,20,60.61,19.0,57.58,CCFM,23.0,Ciencias Físico-Matemáticas
168,1,4,1,2,1,2,2,1,1,2,1,2,2,2,2,1,2,1,2,1,2,2,1,2,1,2,1,2,1.0,2,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,2,1,1,2,1.0,2,2,1,2,2,2,1,2,1,1,2,1,2,1,2,0,2,2,1,1,2,1,2,2,1,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,1,2,1,1,2,1,2,2,1,1,2,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,66,76,0,0.7,46.15,53.15,0.0,142,99.3,Masculino,13.0,39.39,19,57.58,19,57.58,17,51.52,16,48.48,17,51.52,16,48.48,15,45.45,16,48.48,17,51.52,18.0,54.55,CCSS,19.0,Ciencias Sociales
169,1,4,2,1,3,1,1,0,3,3,2,0,0,2,1,3,3,3,2,2,2,1,3,3,2,3,2,1,1.0,1,2,2,2,2,3,2,2,3,2,2,3,1,0,1,0,0,2,1,1,0,3,2.0,2,0,0,0,1,1,0,0,1,1,0,0,2,0,0,2,1,1,0,0,0,1,1,1,2,0,2,0,3,2,2,2,2,0,2,1,0,2,3,2,2,2,2,2,1,2,0,2,3,2,2,2,2,2,2,3,2,2,2,1,1,2,0,2,2,2,0,1,1,0,2,2,2,2,1,3,0,0,1,1,1,1,3,0,0,0,2,1,0,1,0,2,2,34,34,56,19,23.78,23.78,39.16,13.29,109,76.22,Masculino,18.0,54.55,15,45.45,20,60.61,13,39.39,13,39.39,9,27.27,19,57.58,19,57.58,13,39.39,17,51.52,16.0,48.48,CCNA,20.0,Ciencias Naturales
170,0,4,2,1,1,2,1,1,0,1,0,1,0,2,1,2,2,1,2,2,1,2,2,2,1,2,2,2,0.0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,1,1,1,0,0,0,0,0,0.0,0,0,0,0,2,0,2,0,1,2,1,1,2,1,0,0,2,0,2,1,2,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,2,2,1,2,0,0,1,0,2,2,2,0,1,1,1,1,0,0,0,1,2,2,0,0,0,0,0,1,0,1,1,0,1,0,2,2,2,2,2,2,2,0,0,1,1,2,2,0,0,1,2,0,0,3,2,2,2,55,34,53,1,38.46,23.78,37.06,0.7,88,61.54,Femenino,5.0,15.15,10,30.3,9,27.27,16,48.48,15,45.45,11,33.33,9,27.27,10,30.3,12,36.36,15,45.45,10.0,30.3,CCCO,16.0,Ciencias de la Comunicación
171,0,4,2,1,1,1,2,1,2,2,1,2,1,2,2,2,1,0,2,2,2,0,2,2,2,2,2,1,2.0,0,0,0,0,0,2,2,0,2,1,2,2,0,2,2,2,2,2,1,2,1,1,1.0,1,2,2,2,1,2,0,2,2,2,1,0,1,1,1,0,1,0,1,1,1,0,2,1,2,0,1,0,0,0,0,0,1,0,2,0,1,1,1,2,0,0,0,1,1,1,0,0,2,0,0,2,2,2,2,1,1,1,2,2,2,2,1,1,0,2,0,0,0,0,2,2,2,2,2,2,0,0,2,0,2,1,1,2,1,0,0,2,1,1,1,2,2,39,43,61,0,27.27,30.07,42.66,0.0,104,72.73,Femenino,12.0,36.36,9,27.27,7,21.21,14,42.42,14,42.42,12,36.36,13,39.39,20,60.61,11,33.33,12,36.36,10.0,30.3,HAA,20.0,Humanidades y Arquitectura
172,0,4,2,1,1,1,2,1,2,2,1,2,1,2,2,2,1,0,2,2,2,0,2,0,2,2,2,1,0.0,1,0,0,0,0,2,2,0,2,1,2,1,0,1,2,2,2,2,1,2,1,1,1.0,1,2,2,2,1,2,0,2,2,2,1,2,2,1,2,0,2,2,2,1,1,0,1,0,0,1,1,0,1,2,0,0,0,0,2,1,0,2,0,0,0,0,0,0,2,2,0,0,2,2,2,2,0,2,1,1,0,1,2,2,1,1,2,2,2,2,0,0,0,2,2,2,2,2,1,0,0,0,2,0,2,1,1,2,2,0,0,2,2,1,1,2,2,40,37,66,0,27.97,25.87,46.15,0.0,103,72.03,Femenino,10.0,30.3,12,36.36,9,27.27,16,48.48,15,45.45,12,36.36,12,36.36,18,54.55,9,27.27,16,48.48,13.0,39.39,HAA,18.0,Humanidades y Arquitectura
173,0,4,2,1,1,1,1,1,0,1,0,1,0,2,1,2,2,1,2,2,1,2,2,2,1,2,2,2,2.0,1,2,2,2,2,2,2,0,0,0,2,2,2,1,2,2,2,1,2,2,2,1,1.0,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,2,1,1,2,2,3,2,2,1,2,2,0,2,1,1,1,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,1,1,2,2,2,2,1,1,2,2,1,1,2,2,1,2,1,1,2,2,7,49,86,1,4.9,34.27,60.14,0.7,136,95.1,Femenino,19.0,57.58,16,48.48,18,54.55,18,54.55,17,51.52,18,54.55,18,54.55,18,54.55,18,54.55,16,48.48,13.0,39.39,CCFM,19.0,Ciencias Físico-Matemáticas
174,0,4,2,1,2,2,1,1,0,0,0,0,1,2,1,2,0,0,2,1,2,0,0,2,0,2,2,2,2.0,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,0,2,2,2,1,1,1.0,1,2,2,0,1,2,1,0,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,2,2,2,2,1,1,2,2,1,1,2,1,2,2,1,2,1,1,1,2,2,1,1,2,2,1,1,2,2,1,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,12,52,79,0,8.39,36.36,55.24,0.0,131,91.61,Femenino,17.0,51.52,12,36.36,14,42.42,20,60.61,16,48.48,14,42.42,14,42.42,16,48.48,16,48.48,14,42.42,17.0,51.52,CCCO,20.0,Ciencias de la Comunicación
175,1,4,1,1,1,1,0,1,0,2,0,2,1,2,2,1,2,2,1,2,0,1,2,2,1,2,2,0,1.0,1,2,0,2,2,0,2,2,1,2,2,2,2,1,0,2,2,2,1,0,2,1,2.0,1,1,1,2,2,1,2,2,2,2,2,2,1,2,0,0,0,1,2,1,1,0,0,1,0,0,2,0,0,1,1,0,1,0,0,0,2,2,0,2,1,0,1,2,1,0,1,0,0,1,1,2,2,1,2,1,1,2,1,1,0,0,1,1,1,2,0,0,0,2,2,2,2,0,2,2,1,2,1,0,2,0,2,1,1,0,1,0,0,1,0,1,1,39,50,54,0,27.27,34.97,37.76,0.0,104,72.73,Masculino,10.0,30.3,10,30.3,16,48.48,13,39.39,14,42.42,12,36.36,5,15.15,10,30.3,15,45.45,13,39.39,13.0,39.39,CCNA,16.0,Ciencias Naturales
176,0,4,2,1,1,1,2,1,1,0,1,2,1,2,1,2,2,1,2,1,2,2,1,2,0,1,2,2,2.0,1,2,2,2,2,0,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2,1,1.0,2,2,1,1,1,2,2,2,2,2,2,3,1,1,2,1,2,1,1,1,2,0,0,0,0,0,2,2,2,1,2,1,2,1,1,2,2,1,1,1,2,2,2,1,1,2,1,1,2,1,1,2,1,2,2,1,1,2,2,1,1,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,8,56,78,1,5.59,39.16,54.55,0.7,135,94.41,Femenino,19.0,57.58,15,45.45,16,48.48,18,54.55,20,60.61,18,54.55,12,36.36,17,51.52,17,51.52,14,42.42,12.0,36.36,ARTE,20.0,Artes
