ID,Genero,Grado,Pregunta_1,Pregunta_2,Pregunta_3,Pregunta_4,Pregunta_5,Pregunta_6,Pregunta_7,Pregunta_8,Pregunta_9,Pregunta_10,Pregunta_11,Pregunta_12,Pregunta_13,Pregunta_14,Pregunta_15,Pregunta_16,Pregunta_17,Pregunta_18,Pregunta_19,Pregunta_20,Pregunta_21,Pregunta_22,Pregunta_23,Pregunta_24,Pregunta_25,Pregunta_26,Pregunta_27,Pregunta_28,Pregunta_29,Pregunta_30,Pregunta_31,Pregunta_32,Pregunta_33,Pregunta_34,Pregunta_35,Pregunta_36,Pregunta_37,Pregunta_38,Pregunta_39,Pregunta_40,Pregunta_41,Pregunta_42,Pregunta_43,Pregunta_44,Pregunta_45,Pregunta_46,Pregunta_47,Pregunta_48,Pregunta_49,Pregunta_50,Pregunta_51,Pregunta_52,Pregunta_53,Pregunta_54,Pregunta_55,Pregunta_56,Pregunta_57,Pregunta_58,Pregunta_59,Pregunta_60,Pregunta_61,Pregunta_62,Pregunta_63,Pregunta_64,Pregunta_65,Pregunta_66,Pregunta_67,Pregunta_68,Pregunta_69,Pregunta_70,Pregunta_71,Pregunta_72,Pregunta_73,Pregunta_74,Pregunta_75,Pregunta_76,Pregunta_77,Pregunta_78,Pregunta_79,Pregunta_80,Pregunta_81,Pregunta_82,Pregunta_83,Pregunta_84,Pregunta_85,Pregunta_86,Pregunta_87,Pregunta_88,Pregunta_89,Pregunta_90,Pregunta_91,Pregunta_92,Pregunta_93,Pregunta_94,Pregunta_95,Pregunta_96,Pregunta_97,Pregunta_98,Pregunta_99,Pregunta_100,Pregunta_101,Pregunta_102,Pregunta_103,Pregunta_104,Pregunta_105,Pregunta_106,Pregunta_107,Pregunta_108,Pregunta_109,Pregunta_110,Pregunta_111,Pregunta_112,Pregunta_113,Pregunta_114,Pregunta_115,Pregunta_116,Pregunta_117,Pregunta_118,Pregunta_119,Pregunta_120,Pregunta_121,Pregunta_122,Pregunta_123,Pregunta_124,Pregunta_125,Pregunta_126,Pregunta_127,Pregunta_128,Pregunta_129,Pregunta_130,Pregunta_131,Pregunta_132,Pregunta_133,Pregunta_134,Pregunta_135,Pregunta_136,Pregunta_137,Pregunta_138,Pregunta_139,Pregunta_140,Pregunta_141,Pregunta_142,Pregunta_143,total_ninguno,total_opcion_A,total_opcion_B,total_ambos,porc_ninguno,porc_opcion_A,porc_opcion_B,porc_ambos,respuestas_validas,tasa_completitud,genero_etiqueta,puntaje_CCFM,porc_CCFM,puntaje_CCSS,porc_CCSS,puntaje_CCNA,porc_CCNA,puntaje_CCCO,porc_CCCO,puntaje_ARTE,porc_ARTE,puntaje_BURO,porc_BURO,puntaje_CCEP,porc_CCEP,puntaje_HAA,porc_HAA,puntaje_FINA,porc_FINA,puntaje_LING,porc_LING,puntaje_JURI,porc_JURI,area_dominante,puntaje_dominante,area_dominante_nombre
177,1,4,2,1,1,2,1,0,0,0,2,3,0,2,0,3,2,0,0,0,2,3,0,2,1,2,2,0,2.0,1,1,2,2,0,2,2,2,2,2,2,2,2,0,1,2,2,2,1,0,2,2,0.0,2,1,2,2,1,2,1,2,1,2,1,2,2,2,1,1,1,1,2,1,2,1,2,1,1,2,2,0,2,1,1,2,2,2,0,2,2,1,2,0,1,2,2,1,2,1,2,2,1,0,2,1,2,1,2,0,1,1,1,2,2,2,0,1,1,2,1,0,2,2,0,1,1,2,1,1,2,2,0,1,0,0,2,1,1,2,1,1,1,1,2,0,2,26,47,67,3,18.18,32.87,46.85,2.1,117,81.82,Masculino,18.0,54.55,12,36.36,12,36.36,16,48.48,13,39.39,17,51.52,15,45.45,13,39.39,14,42.42,18,54.55,16.0,48.48,CCFM,18.0,Ciencias Físico-Matemáticas
178,0,4,0,1,2,3,1,1,1,0,2,1,0,0,1,1,2,2,1,1,0,1,0,2,1,2,0,1,1.0,1,3,1,1,0,2,0,0,2,0,0,1,0,0,1,2,1,3,0,2,2,1,2.0,0,2,2,0,1,0,1,0,2,2,2,2,0,0,1,1,3,1,0,1,0,2,2,0,1,2,0,1,2,3,1,2,0,1,0,0,2,1,2,2,0,1,1,2,1,0,0,1,0,0,1,0,0,1,2,1,0,0,2,0,1,1,1,1,0,2,0,2,0,2,2,0,0,0,2,2,2,0,0,1,1,1,1,3,1,1,0,0,1,1,1,1,0,49,52,36,6,34.27,36.36,25.17,4.2,94,65.73,Femenino,13.0,39.39,13,39.39,16,48.48,15,45.45,9,27.27,6,18.18,10,30.3,9,27.27,14,42.42,14,42.42,9.0,27.27,CCNA,16.0,Ciencias Naturales
179,1,4,2,1,3,1,3,1,2,1,1,3,1,3,3,2,3,2,3,2,0,1,3,2,2,3,3,3,3.0,3,2,3,2,3,1,1,3,3,3,2,3,3,2,3,3,2,3,1,1,3,3,3.0,1,2,1,1,3,1,1,0,3,1,1,2,1,2,2,1,3,0,3,3,1,0,1,3,2,1,2,2,3,3,0,3,2,0,3,1,1,2,3,0,2,2,3,1,2,2,2,2,3,3,2,0,2,1,0,0,3,2,2,1,2,2,1,2,1,2,2,1,1,1,3,0,3,1,1,3,3,1,2,0,2,3,3,2,2,2,3,3,2,2,3,2,2,12,36,45,50,8.39,25.17,31.47,34.97,131,91.61,Masculino,20.0,60.61,23,69.7,21,63.64,26,78.79,21,63.64,16,48.48,19,57.58,18,54.55,23,69.7,26,78.79,20.0,60.61,CCCO,26.0,Ciencias de la Comunicación
182,1,5,2,2,1,2,2,3,3,1,2,2,1,3,1,1,1,2,3,1,1,3,1,2,1,2,2,2,1.0,2,2,1,1,1,1,2,0,1,1,2,2,2,1,1,1,2,1,2,1,1,2,2.0,0,0,2,1,1,2,2,2,2,1,2,2,1,1,2,1,1,1,1,2,1,0,2,2,1,1,0,2,1,2,1,2,1,1,0,1,0,1,0,1,2,2,2,2,2,1,1,0,1,1,2,2,2,2,1,2,2,1,1,0,1,0,2,0,2,2,1,1,1,2,0,1,2,0,1,1,0,2,2,2,1,2,2,0,2,2,2,2,3,1,1,2,2,16,59,62,6,11.19,41.26,43.36,4.2,127,88.81,Masculino,15.0,45.45,17,51.52,17,51.52,15,45.45,16,48.48,15,45.45,14,42.42,13,39.39,16,48.48,13,39.39,15.0,45.45,CCSS,17.0,Ciencias Sociales
184,1,5,2,2,1,2,2,1,2,1,1,1,2,1,2,1,1,1,2,1,2,2,2,2,1,1,2,2,2.0,1,2,3,2,1,1,2,1,1,1,1,1,2,2,1,1,1,2,2,1,3,3,1.0,2,2,1,0,1,2,2,3,1,2,1,1,2,1,2,1,1,2,2,1,1,2,0,1,2,1,2,1,1,1,3,2,2,2,2,1,1,2,1,0,2,1,2,2,2,1,1,1,1,2,0,2,0,1,2,1,3,1,1,2,2,2,2,2,0,2,0,1,2,1,1,2,2,1,1,1,1,1,2,0,2,2,1,2,2,0,1,2,1,2,2,0,2,10,63,64,6,6.99,44.06,44.76,4.2,133,93.01,Masculino,16.0,48.48,15,45.45,18,54.55,20,60.61,17,51.52,17,51.52,17,51.52,15,45.45,16,48.48,16,48.48,14.0,42.42,CCCO,20.0,Ciencias de la Comunicación
186,0,4,2,1,3,2,3,0,0,1,3,1,2,2,1,1,1,1,2,3,2,2,0,0,2,2,2,2,0.0,1,1,2,1,2,2,0,0,3,2,2,0,0,1,0,0,1,2,0,0,0,3,0.0,2,0,2,2,1,2,0,2,0,1,0,2,2,1,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,2,0,2,2,3,2,0,2,2,2,0,1,1,1,0,0,0,0,1,0,0,0,1,0,2,2,71,28,36,8,49.65,19.58,25.17,5.59,72,50.35,Femenino,11.0,33.33,7,21.21,10,30.3,10,30.3,12,36.36,11,33.33,4,12.12,4,12.12,5,15.15,15,45.45,9.0,27.27,LING,15.0,Lingüística
187,0,4,3,1,2,2,3,1,1,3,1,2,2,2,1,1,1,2,2,3,2,1,3,1,2,2,2,2,2.0,2,2,2,3,1,2,0,0,0,1,2,2,1,1,0,0,1,2,1,1,3,2,2.0,1,2,1,3,1,1,0,2,2,1,1,2,2,2,1,0,2,3,1,0,2,2,0,1,1,3,2,3,3,1,1,0,0,2,2,2,2,0,3,3,2,0,0,1,0,3,2,3,2,3,3,3,0,1,2,1,0,2,2,1,3,3,1,2,2,0,3,1,0,2,2,1,2,2,3,3,3,1,1,1,2,2,3,2,3,3,2,3,0,2,3,2,3,20,38,54,31,13.99,26.57,37.76,21.68,123,86.01,Femenino,16.0,48.48,14,42.42,17,51.52,14,42.42,19,57.58,20,60.61,21,63.64,21,63.64,16,48.48,19,57.58,24.0,72.73,JURI,24.0,Jurídico
188,1,4,1,2,1,2,1,2,2,1,1,1,2,2,2,1,2,1,1,1,1,1,1,2,1,1,2,2,2.0,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,2,1,1,2,2,1.0,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,2,1,1,2,1,1,2,2,1,1,2,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,2,1,2,2,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,66,77,0,0.0,46.15,53.85,0.0,143,100.0,Masculino,15.0,45.45,18,54.55,17,51.52,19,57.58,15,45.45,17,51.52,16,48.48,14,42.42,18,54.55,18,54.55,16.0,48.48,CCCO,19.0,Ciencias de la Comunicación
189,1,4,2,1,1,1,1,3,3,3,2,1,3,2,3,3,2,1,2,3,2,3,3,2,1,3,2,2,2.0,1,1,1,1,2,3,2,2,3,2,2,3,3,1,3,3,2,2,1,1,2,3,2.0,2,1,3,2,3,2,1,2,3,3,2,2,2,1,3,2,3,3,2,1,2,3,1,1,1,1,2,3,3,3,3,2,1,2,2,1,2,3,2,2,2,2,3,1,2,2,2,3,2,1,1,2,3,1,2,1,1,1,3,2,1,3,2,1,1,2,2,3,3,2,1,1,2,2,1,2,1,2,1,1,3,2,1,1,3,3,2,2,2,1,1,2,2,0,44,59,40,0.0,30.77,41.26,27.97,143,100.0,Masculino,28.0,84.85,22,66.67,20,60.61,18,54.55,19,57.58,24,72.73,26,78.79,22,66.67,20,60.61,18,54.55,21.0,63.64,CCFM,28.0,Ciencias Físico-Matemáticas
190,0,4,2,1,1,1,1,0,1,1,1,1,1,1,2,2,2,2,2,1,1,0,2,2,1,2,1,2,2.0,1,2,2,2,0,1,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,1,1.0,0,0,0,0,1,2,2,1,2,1,2,1,2,0,1,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,0,0,2,1,2,2,0,0,2,0,2,0,1,2,2,2,2,0,2,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,2,0,2,0,0,0,2,2,38,45,60,0,26.57,31.47,41.96,0.0,105,73.43,Femenino,17.0,51.52,14,42.42,16,48.48,17,51.52,12,36.36,11,33.33,10,30.3,13,39.39,15,45.45,7,21.21,11.0,33.33,CCFM,17.0,Ciencias Físico-Matemáticas
191,0,4,3,2,1,1,1,1,1,0,2,1,0,1,0,3,0,1,1,1,0,1,0,2,0,1,2,2,0.0,0,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2,0,0,0,0,0,2,2,0,2,2,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,2,2,2,0,0,0,0,2,0,0,2,0,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,2,1,1,2,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,22,28,2,63.64,15.38,19.58,1.4,52,36.36,Femenino,12.0,36.36,8,24.24,10,30.3,6,18.18,4,12.12,1,3.03,5,15.15,8,24.24,8,24.24,6,18.18,5.0,15.15,CCFM,12.0,Ciencias Físico-Matemáticas
196,1,4,2,1,2,1,1,2,2,1,1,0,1,2,2,2,2,1,1,2,2,1,1,1,2,2,2,1,1.0,1,2,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2.0,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,1,2,1,1,52,90,0,0.7,36.36,62.94,0.0,142,99.3,Masculino,17.0,51.52,16,48.48,17,51.52,16,48.48,19,57.58,20,60.61,18,54.55,17,51.52,18,54.55,18,54.55,19.0,57.58,BURO,20.0,Burocracia/Administrativo
197,0,4,2,1,2,1,2,2,2,1,1,2,2,2,1,2,2,1,2,1,1,1,2,1,1,1,2,1,1.0,1,1,2,1,2,1,2,1,2,2,2,1,1,1,2,1,1,2,1,1,2,1,2.0,2,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,2,1,1,2,2,2,1,1,2,1,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,1,1,2,2,1,2,1,1,2,2,2,1,2,1,1,1,2,1,2,1,1,2,1,1,2,2,0,81,62,0,0.0,56.64,43.36,0.0,143,100.0,Femenino,15.0,45.45,12,36.36,14,42.42,18,54.55,13,39.39,18,54.55,14,42.42,15,45.45,15,45.45,16,48.48,18.0,54.55,CCCO,18.0,Ciencias de la Comunicación
198,1,4,2,1,1,1,1,0,2,2,1,1,1,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2.0,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1.0,1,0,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,0,0,0,2,0,0,0,0,1,2,0,2,0,1,1,1,2,0,1,1,1,0,1,2,2,1,1,2,2,1,0,2,1,2,0,1,2,1,1,0,0,0,0,0,1,1,1,2,1,2,2,2,2,2,0,2,0,2,2,1,0,1,0,0,1,1,1,0,2,2,27,40,76,0,18.88,27.97,53.15,0.0,116,81.12,Masculino,18.0,54.55,16,48.48,15,45.45,13,39.39,15,45.45,16,48.48,17,51.52,17,51.52,14,42.42,15,45.45,11.0,33.33,CCFM,18.0,Ciencias Físico-Matemáticas
199,0,4,2,1,1,2,1,2,0,0,1,1,1,1,1,2,2,0,2,1,2,2,0,2,1,2,2,0,0.0,1,3,2,1,2,0,2,2,1,2,2,1,2,1,2,1,1,2,2,2,2,1,0.0,2,0,2,2,2,0,1,2,2,2,2,2,2,1,1,1,2,1,0,1,2,2,1,0,0,0,2,0,1,1,1,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,2,2,0,0,1,2,2,3,2,0,0,0,0,0,2,0,2,0,1,2,1,2,2,2,2,0,0,2,1,1,0,1,0,1,0,0,0,0,1,0,2,2,48,39,54,2,33.57,27.27,37.76,1.4,95,66.43,Femenino,13.0,39.39,12,36.36,14,42.42,13,39.39,12,36.36,16,48.48,11,33.33,9,27.27,11,33.33,7,21.21,9.0,27.27,BURO,16.0,Burocracia/Administrativo
200,1,4,3,2,3,2,2,2,3,3,2,3,2,3,1,1,1,3,3,1,1,1,2,1,3,3,2,2,1.0,1,3,3,3,1,1,3,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,2.0,1,2,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,2,2,1,2,2,3,3,3,3,2,2,2,1,1,1,2,2,1,1,3,1,1,2,2,1,1,2,1,3,2,2,2,1,1,1,2,2,1,3,1,3,3,1,2,2,1,3,1,2,3,1,3,1,1,2,1,2,3,0,70,44,29,0.0,48.95,30.77,20.28,143,100.0,Masculino,17.0,51.52,17,51.52,19,57.58,22,66.67,22,66.67,16,48.48,19,57.58,19,57.58,15,45.45,21,63.64,18.0,54.55,CCCO,22.0,Ciencias de la Comunicación
203,1,4,2,1,2,2,1,2,1,1,1,1,1,2,0,2,2,2,2,1,1,1,1,1,2,1,2,2,2.0,1,1,2,2,1,2,2,1,2,1,1,2,1,1,1,2,3,1,1,1,1,1,2.0,2,2,1,2,1,0,0,1,2,1,1,2,2,2,1,0,0,1,2,1,1,2,2,1,3,1,2,1,1,2,2,1,2,1,2,1,2,1,1,1,2,1,2,2,1,1,0,2,1,2,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,2,1,2,1,2,1,1,0,1,1,1,0,2,2,2,1,1,2,1,2,1,2,2,2,8,73,60,2,5.59,51.05,41.96,1.4,135,94.41,Masculino,12.0,36.36,15,45.45,17,51.52,17,51.52,16,48.48,11,33.33,18,54.55,13,39.39,14,42.42,16,48.48,16.0,48.48,CCEP,18.0,Ciencias Económico-Políticas
204,0,4,2,1,1,2,2,1,2,2,2,1,1,1,1,2,2,2,0,2,1,1,2,2,0,1,2,2,2.0,1,2,1,2,1,1,1,2,1,2,2,2,2,1,2,2,2,2,1,1,2,1,1.0,2,2,1,1,1,2,1,1,1,2,1,1,0,1,2,2,1,0,1,1,1,2,1,2,2,1,1,1,2,1,0,2,2,2,0,2,1,1,1,2,2,0,1,1,0,1,2,2,1,2,1,1,2,0,2,2,1,2,2,2,1,2,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2,1,1,2,2,2,2,1,2,0,2,1,1,2,2,10,63,70,0,6.99,44.06,48.95,0.0,133,93.01,Femenino,18.0,54.55,14,42.42,13,39.39,16,48.48,19,57.58,16,48.48,14,42.42,15,45.45,18,54.55,13,39.39,11.0,33.33,ARTE,19.0,Artes
206,1,4,2,1,1,1,1,1,1,1,0,1,1,2,2,2,2,0,2,0,2,2,2,2,1,1,2,2,2.0,0,1,1,2,0,0,1,2,1,0,2,2,2,1,2,2,2,2,1,2,2,2,2.0,2,1,2,2,1,2,2,2,2,2,2,2,2,1,0,2,0,2,2,1,1,2,2,0,1,0,2,2,0,1,0,2,0,2,2,2,2,2,2,2,2,0,1,1,1,2,2,1,1,2,1,2,1,2,2,2,1,1,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,15,40,88,0,10.49,27.97,61.54,0.0,128,89.51,Masculino,18.0,54.55,14,42.42,12,36.36,18,54.55,15,45.45,17,51.52,17,51.52,19,57.58,18,54.55,16,48.48,15.0,45.45,HAA,19.0,Humanidades y Arquitectura
207,0,4,2,1,2,2,2,1,1,2,1,3,1,2,1,2,2,1,2,3,1,1,2,2,2,1,2,2,2.0,3,1,2,2,1,1,2,2,2,1,1,2,2,1,2,2,2,1,1,2,1,2,1.0,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,1,1,3,1,1,1,2,2,1,1,2,2,2,2,2,1,2,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,2,2,2,2,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,0,63,76,4,0.0,44.06,53.15,2.8,143,100.0,Femenino,18.0,54.55,18,54.55,15,45.45,21,63.64,21,63.64,15,45.45,15,45.45,20,60.61,15,45.45,19,57.58,11.0,33.33,CCCO,21.0,Ciencias de la Comunicación
208,1,4,2,1,2,2,1,1,1,0,2,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,2.0,0,0,0,0,1,0,0,0,0,1,2,2,0,0,1,0,0,0,1,0,0,0,1.0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,95,30,18,0,66.43,20.98,12.59,0.0,48,33.57,Masculino,6.0,18.18,6,18.18,4,12.12,3,9.09,2,6.06,5,15.15,5,15.15,3,9.09,4,12.12,4,12.12,6.0,18.18,CCFM,6.0,Ciencias Físico-Matemáticas
209,0,4,1,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,2,2,0,2,0,2,1,2,0,0,0.0,1,0,0,0,0,0,2,0,0,0,2,3,2,3,1,0,0,2,0,0,0,0,0.0,2,0,2,0,2,2,3,2,2,2,2,2,2,1,0,2,1,0,1,1,0,0,0,0,1,0,2,1,1,1,2,0,3,0,2,0,2,1,0,2,0,0,1,2,1,1,0,1,1,0,0,0,0,0,0,1,2,3,1,0,0,2,0,0,0,2,1,2,0,2,2,3,2,2,0,0,3,2,1,1,0,0,3,0,0,1,0,0,1,1,0,2,1,69,28,37,9,48.25,19.58,25.87,6.29,74,51.75,Femenino,10.0,30.3,9,27.27,14,42.42,11,33.33,14,42.42,7,21.21,9,27.27,7,21.21,7,21.21,12,36.36,6.0,18.18,CCNA,14.0,Ciencias Naturales
210,1,4,2,1,2,1,1,1,1,1,2,2,1,2,2,2,2,1,1,1,1,2,1,2,1,2,2,1,1.0,1,2,2,1,2,2,1,1,2,1,1,1,1,1,2,2,1,1,2,2,1,1,1.0,2,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,1,2,1,1,1,1,2,2,1,1,2,2,1,2,1,2,1,1,2,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,1,2,1,1,2,1,2,2,1,1,2,1,2,2,0,75,68,0,0.0,52.45,47.55,0.0,143,100.0,Masculino,17.0,51.52,14,42.42,16,48.48,17,51.52,12,36.36,16,48.48,18,54.55,15,45.45,17,51.52,17,51.52,14.0,42.42,CCEP,18.0,Ciencias Económico-Políticas
211,1,5,2,1,1,0,1,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,0.0,0,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,1,1,1,2,2,2.0,1,1,1,2,1,1,1,2,2,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1,2,1,1,2,2,1,0,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,2,1,2,1,2,2,1,2,1,2,2,1,2,1,2,1,1,1,2,1,2,2,2,2,2,2,1,2,1,2,2,0,2,0,1,1,1,2,1,1,2,2,2,0,2,8,58,77,0,5.59,40.56,53.85,0.0,135,94.41,Masculino,16.0,48.48,16,48.48,16,48.48,15,45.45,16,48.48,17,51.52,19,57.58,15,45.45,17,51.52,17,51.52,17.0,51.52,CCEP,19.0,Ciencias Económico-Políticas
212,1,5,3,1,2,2,1,2,1,2,1,2,1,2,1,3,2,2,2,1,1,1,2,2,1,0,2,0,0.0,0,0,1,1,1,0,2,2,0,0,2,0,0,1,0,0,1,2,2,0,2,2,0.0,2,0,2,2,2,0,2,2,0,2,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,0,2,0,0,0,0,2,2,2,0,2,2,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,2,3,71,23,45,4,49.65,16.08,31.47,2.8,72,50.35,Masculino,12.0,36.36,9,27.27,8,24.24,9,27.27,11,33.33,10,30.3,7,21.21,10,30.3,11,33.33,9,27.27,3.0,9.09,CCFM,12.0,Ciencias Físico-Matemáticas
213,0,5,1,2,1,2,1,1,1,2,2,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,1,2,2.0,2,1,2,1,2,1,1,1,2,1,2,2,1,2,2,2,2,1,1,1,2,2,2.0,2,1,1,1,2,1,1,1,2,2,1,2,1,1,2,2,2,1,1,2,2,2,1,2,2,2,1,1,1,1,2,1,1,2,1,1,1,2,1,2,2,1,1,1,2,1,1,2,1,1,1,2,1,2,1,2,2,0,1,2,1,2,1,1,2,2,2,1,2,1,1,2,1,2,1,2,2,1,0,2,1,2,2,1,2,2,1,2,2,2,1,2,1,2,73,68,0,1.4,51.05,47.55,0.0,141,98.6,Femenino,13.0,39.39,18,54.55,16,48.48,15,45.45,16,48.48,16,48.48,15,45.45,15,45.45,16,48.48,18,54.55,17.0,51.52,CCSS,18.0,Ciencias Sociales
214,0,5,1,1,2,0,1,1,1,0,2,2,0,1,2,1,2,0,1,1,1,1,2,0,1,1,2,2,2.0,2,2,2,1,1,1,2,1,0,1,1,0,1,1,2,0,2,0,2,0,2,2,2.0,2,2,2,2,2,2,0,2,2,1,3,2,2,1,2,0,1,2,2,2,1,2,1,1,2,1,2,0,1,0,1,2,2,3,2,0,2,0,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,1,2,1,1,1,2,1,1,2,2,1,2,2,1,1,2,1,2,2,2,2,2,1,1,1,0,1,2,2,0,2,2,0,1,1,1,1,1,2,1,19,55,67,2,13.29,38.46,46.85,1.4,124,86.71,Femenino,14.0,42.42,16,48.48,14,42.42,16,48.48,17,51.52,13,39.39,17,51.52,13,39.39,17,51.52,14,42.42,14.0,42.42,ARTE,17.0,Artes
216,1,4,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,3,1.0,2,1,2,2,1,1,1,2,2,1,1,1,1,2,1,3,2,2,2,1,2,1,1.0,2,2,1,2,1,2,2,1,2,2,2,2,1,2,1,1,2,1,1,2,1,2,1,3,1,2,1,2,1,1,1,2,2,2,2,2,1,2,1,2,1,1,1,1,1,2,1,2,1,2,1,1,0,2,1,2,1,2,2,2,2,2,1,2,1,2,3,1,1,1,1,2,1,2,2,2,1,2,2,2,2,3,1,2,1,2,2,1,1,1,1,2,3,1,72,64,6,0.7,50.35,44.76,4.2,142,99.3,Masculino,13.0,39.39,18,54.55,11,33.33,18,54.55,20,60.61,16,48.48,21,63.64,16,48.48,19,57.58,15,45.45,13.0,39.39,CCEP,21.0,Ciencias Económico-Políticas
217,0,4,1,1,0,0,2,2,0,2,1,2,0,2,1,3,3,2,2,2,1,1,2,2,0,2,2,1,0.0,0,2,2,2,2,0,2,0,2,2,2,2,0,0,0,0,0,2,0,0,2,0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0,2,2,2,2,0,2,2,3,0,0,2,2,0,0,3,1,3,2,0,2,0,0,2,2,2,1,2,0,1,0,2,0,0,3,3,0,0,0,1,1,1,1,2,2,2,2,3,2,3,2,2,2,1,1,3,0,0,0,0,1,1,2,0,0,1,62,20,49,12,43.36,13.99,34.27,8.39,81,56.64,Femenino,10.0,30.3,11,33.33,12,36.36,13,39.39,15,45.45,11,33.33,7,21.21,16,48.48,11,33.33,11,33.33,12.0,36.36,HAA,16.0,Humanidades y Arquitectura
